339,761,小松
340,761,加賀
341,76,金沢
342,763,福野
343,76,富山
344,765,魚津
345,766,高岡
346,767,七尾
347,767,羽咋
348,768,輪島
349,768,能都
350,770,敦賀
351,770,小浜
352,771,亀岡
353,771,園部
354,772,宮津
355,772,峰山
356,773,福知山
357,773,舞鶴
358,774,宇治
359,77,大津
360,776,福井
361,778,武生
362,779,大野
363,78,神戸
364,790,播磨山崎
365,790,福崎
366,791,竜野
367,791,相生
368,79,姫路
369,79,加古川
370,794,三木
371,795,西脇
372,79,三田
373,795,丹波柏原
374,796,豊岡
375,796,浜坂
376,79,八鹿
377,797,西宮
378,799,洲本
379,799,津名
380,82,広島
381,820,柳井
382,820,久賀
383,823,呉
384,824,三次
385,82,東広島
386,824,庄原
387,826,千代田
388,826,安芸吉田
389,826,加計
390,827,岩国
391,829,廿日市
392,83,下関
393,833,下松
394,834,徳山
395,835,防府
396,836,宇部
397,837,長門
398,837,美祢
399,838,萩
400,8387,田万川
401,83,山口
402,845,因島
403,846,竹原
404,846,木江
405,847,府中
406,847,甲山
407,8477,東城
408,848,尾道
409,84,福山
410,8512,西郷
411,8514,海士
412,852,松江
413,853,出雲
414,854,安来
415,854,木次
416,854,掛合
417,854,石見大田
418,855,浜田
419,855,江津
420,855,川本
421,856,益田
422,856,津和野
423,857,鳥取
424,858,郡家
425,858,倉吉
426,859,米子
427,859,根雨
428,86,倉敷
429,86,岡山
430,863,玉野
431,865,鴨方
432,865,笠岡
433,866,高梁
434,866,井原
435,866,総社
436,867,新見
437,867,久世
438,867,加茂川
439,868,津山
440,868,美作
441,869,備前
442,869,邑久
443,86,赤磐
444,875,観音寺
445,877,丸亀
446,87,高松
447,879,三本松
448,879,土庄
449,880,土佐中村
450,880,宿毛
451,880,窪川
452,880,土佐清水
453,883,鴨島
454,883,脇町
455,883,阿波池田
456,884,阿南
457,884,丹生谷
458,884,牟岐
459,885,小松島
460,88,徳島
461,887,嶺北
462,887,室戸
463,887,安芸
464,887,土佐山田
465,88,高知
466,889,佐川
467,889,須崎
468,892,久万
469,893,大洲
470,894,八幡浜
471,894,宇和
472,895,宇和島
473,895,御荘
474,896,伊予三島
475,897,伯方
476,897,新居浜
477,898,今治
478,89,松山
479,92,前原
480,92,福岡
481,920,郷ノ浦
482,920,厳原
483,920,対馬佐賀
484,93,北九州
485,930,行橋
486,940,宗像
487,942,久留米
488,943,八女
489,943,田主丸
490,944,瀬高
491,946,甘木
492,947,田川
493,948,飯塚
494,949,直方
495,950,平戸
496,952,佐賀
497,954,武雄
498,954,鹿島
499,955,唐津
500,955,伊万里
501,956,佐世保
502,957,諫早
503,957,島原
504,95,長崎
505,959,大瀬戸
506,959,福江
507,959,有川
508,96,熊本
509,964,松橋
510,965,八代
511,966,人吉
512,966,水俣
513,967,熊本一の宮
514,967,矢部
515,967,高森
516,968,山鹿
517,968,玉名
518,969,天草
519,972,佐伯
520,972,臼杵
521,973,日田
522,973,玖珠
523,974,三重
524,974,竹田
525,97,大分
526,977,別府
527,978,国東
528,978,豊後高田
529,978,杵築
530,979,中津
531,98,那覇
532,980,名護
533,9802,南大東
534,980,沖縄宮古
535,980,八重山
536,982,延岡
537,982,日向
538,982,高千穂
539,983,高鍋
540,984,小林
541,985,宮崎
542,986,都城
543,987,日南
544,9912,中之島
545,9913,硫黄島
546,99,鹿児島
547,993,指宿
548,993,加世田
549,99,志布志
550,994,鹿屋
551,994,大根占
552,995,加治木
553,995,大口
554,996,出水
555,996,川内
556,9969,中甑
557,997,名瀬
558,997,徳之島
559,997,種子島
560,997,屋久島
561,997,瀬戸内
